"source","target","value"
"Brevard","Indian River",32.45
"Lake","Sumter",42.66
"Orange","Lake",114.44
"Orange","Osceola",273.19
"Orange","Seminole",390.67
"Orange","Volusia",90.56
"Osceola","Orange",95.31
"Osceola","Polk",63.05
"Polk","Osceola",54.37
"Seminole","Orange",127.25
"Volusia","Orange",38.05
