"source","target","value"
"Indian River","Brevard",30.64
"Lake","Orange",146.82
"Lake","Seminole",74.26
"Orange","Lake",314.88
"Orange","Osceola",160.23
"Orange","Seminole",45.8
"Osceola","Orange",190.39
"Osceola","Polk",59.88
"Polk","Osceola",119.11
"Seminole","Lake",74.26
"Seminole","Orange",147.72
